#{"t_start": 1776092517.070587, "env_id": "None"}
r,l,t
107.796704,58,2.109269
112.375345,61,2.132514
146.52414,78,2.162354
173.436967,93,2.195287
150.69,80,2.225107
161.623879,87,2.256407
158.103941,84,2.288004
128.352078,70,2.312817
120.921607,65,2.339195
128.287422,68,2.363682
127.313962,68,2.38824
129.659454,69,2.413462
143.471502,76,2.440649
134.019532,79,2.472583
172.519782,97,2.508281
134.731596,73,2.535234
147.745879,79,2.563283
144.151848,77,2.591022
162.144674,86,2.62239
131.413436,72,2.64755
128.892691,70,2.672833
115.068949,63,2.695388
142.442077,76,2.721916
146.538594,79,2.751648
148.183762,78,2.784228
126.781923,68,2.811067
117.735867,63,2.835437
138.69081,74,3.923665
109.551816,59,3.947992
104.671812,57,3.981299
132.607086,71,4.075547
115.334336,61,4.137167
143.693784,82,4.175122
112.095327,60,4.203579
131.886894,70,4.233989
126.105495,69,4.259364
157.700818,84,4.28993
110.606849,60,4.315813
125.150188,68,4.344954
165.169145,87,4.377775
121.056864,67,4.40737
112.963708,62,4.434506
129.295784,69,4.462264
129.939876,69,4.487274
182.111504,97,4.534244
112.980382,62,4.564684
137.725439,73,4.595562
184.771412,105,4.639761
123.734429,66,4.675431
125.4596,68,4.721128
118.189138,65,4.750049
113.805074,63,4.777556
119.273907,65,4.805769
155.240657,83,4.840922
217.075876,121,4.902639
159.624744,85,5.908487
138.375549,74,5.934552
112.391376,61,5.957652
139.381079,74,5.98293
116.872015,63,6.004355
107.378218,58,6.024925
113.977133,63,6.048397
175.652381,93,6.083576
129.947986,69,6.108833
103.972339,56,6.128439
166.449145,90,6.160126
153.674409,82,6.188353
168.818993,91,6.219691
115.657718,62,6.241211
122.691197,66,6.265221
117.34795,63,6.290299
156.003979,84,6.322291
128.653671,70,6.348486
125.961105,71,6.375926
135.155972,72,6.403362
191.492732,113,6.446412
123.645052,66,6.472317
144.940477,78,6.502196
136.912103,73,6.528483
139.968332,75,6.556866
139.1929,74,6.582477
168.568968,89,6.617446
137.350376,74,6.643886
121.25209,65,7.594454
128.62066,68,7.621307
148.921449,79,7.653128
124.124178,66,7.68552
107.924002,59,7.705966
171.055149,90,7.737458
108.427183,58,7.75869
192.768916,106,7.796457
120.248168,65,7.820429
198.398393,108,7.859592
137.481924,73,7.887174
114.595575,62,7.909598
106.247787,57,7.933136
129.099345,69,7.957527
126.851623,69,7.981966
127.864553,69,8.006759
145.844256,78,8.033981
137.019572,74,8.063289
128.34709,68,8.087419
122.696634,67,8.112385
131.625584,70,8.137645
131.115417,71,8.163376
109.591304,59,8.184271
124.473179,67,8.208066
154.046447,81,8.237101
227.723542,124,8.281636
151.168088,80,8.310169
122.035368,65,9.309984
166.434149,88,9.342314
171.489949,91,9.392833
101.906225,55,9.414218
138.312891,75,9.441471
135.962491,72,9.467042
150.760578,82,9.496525
101.988159,55,9.517046
114.117964,61,9.538517
124.104265,68,9.561984
139.206541,75,9.589384
189.538861,99,9.628522
123.528682,68,9.654549
134.613952,71,9.683623
138.143451,76,9.714127
150.851396,80,9.742771
110.611864,59,9.764183
116.333393,65,9.789254
110.151023,59,9.811944
115.53495,64,9.837081
109.805235,59,9.859563
121.933851,67,9.889429
152.209446,81,9.922097
123.300583,66,9.947458
111.569212,61,9.972777
125.488221,68,9.997349
127.729228,68,10.022118
199.6298,105,10.060298
113.292822,61,10.082459
