#{"t_start": 1776092955.7803667, "env_id": "None"}
r,l,t
-39.040149,67,1.20035
104.63196,86,1.238838
25.314902,74,1.276133
-24.531846,73,1.305704
127.7292,88,1.341098
-10.64195,79,1.374537
-24.911635,78,1.407969
20.503189,71,1.434163
-7.098447,73,1.462991
-83.160264,62,1.489137
78.031752,81,1.520745
-116.258515,60,1.546981
-121.047224,65,1.571917
-51.410721,65,1.597173
-125.094671,65,1.621776
-119.505438,70,1.649612
-101.737838,74,1.67844
-48.782001,73,1.718355
-106.823244,66,1.75008
8.214263,72,1.782037
19.468493,80,1.82498
108.787093,87,1.880493
37.128884,72,1.920313
-97.493067,62,1.9463
-135.959319,63,1.973096
-135.747211,62,1.996939
-59.096013,70,2.023632
120.171481,84,2.053284
-59.327423,64,3.007643
85.090695,89,3.04147
77.587444,78,3.084882
-41.52982,80,3.114702
128.274811,91,3.16233
129.51881,89,3.195623
112.668467,96,3.230301
-92.944511,63,3.255402
68.463894,79,3.285734
-25.462802,71,3.312258
21.386755,77,3.344902
-60.676033,75,3.371653
-24.552235,70,3.398361
105.729986,92,3.434364
-118.351447,72,3.462658
14.827884,70,3.490228
41.842019,85,3.523876
137.390456,86,3.559223
84.531968,79,3.589061
-67.151812,76,3.61642
-87.69779,66,3.641222
-28.575319,66,3.665104
-107.695546,65,3.688107
-92.984391,60,3.712972
-84.770685,59,3.736705
19.936363,71,3.762069
98.570457,91,3.794321
94.658986,84,4.719325
-29.062849,68,4.746112
-114.144055,67,4.772255
107.51358,89,4.806162
14.733252,106,4.846882
-140.458531,65,4.87129
116.011349,92,4.903294
103.481431,83,4.934912
-115.382566,65,4.958488
15.512789,75,4.984549
58.320377,74,5.011191
-33.300835,114,5.050754
56.254775,82,5.078912
9.245108,71,5.104538
-104.508112,61,5.126109
158.86514,109,5.164351
40.332959,74,5.191084
28.229332,78,5.218659
124.721704,94,5.252695
-11.127909,68,5.279747
97.979305,90,5.310662
90.605686,83,5.342292
-7.700648,74,5.368617
36.306454,81,5.397533
74.35534,97,5.432218
35.710252,105,6.412812
125.502629,85,6.449166
125.127674,97,6.491725
133.003608,89,6.522731
120.724064,86,6.554308
34.004675,83,6.583144
47.922283,84,6.612195
131.695938,99,6.646328
95.37918,82,6.675548
117.543902,96,6.762017
33.029027,84,6.975593
50.718538,93,7.218356
29.784835,78,7.357926
105.621335,82,7.418026
108.320511,87,7.453218
17.531145,85,7.497444
19.554313,79,7.532757
43.305844,81,7.561465
-7.721293,70,7.588636
148.947834,103,7.625562
13.326876,78,7.652909
53.308937,73,7.682516
3.097608,72,7.70929
97.528907,85,7.740664
128.770155,97,8.897516
155.654223,100,8.93814
114.50957,88,8.972853
-47.787529,78,9.013119
134.503988,97,9.061437
103.608153,84,9.097158
78.765667,79,9.126089
97.743146,78,9.156849
102.083162,83,9.190239
-24.279021,71,9.216217
28.68696,114,9.260313
13.769701,80,9.290916
39.041962,80,9.324262
69.290393,90,9.427888
112.610324,90,9.509284
51.014389,83,9.611403
85.99132,84,9.730324
143.090844,95,9.784787
50.094461,80,9.81707
129.510294,88,9.850094
116.884017,92,9.885043
99.981009,94,9.923919
104.682309,82,9.954597
