#{"t_start": 1776092549.6810484, "env_id": "None"}
r,l,t
-101.953571,63,1.051037
20.659811,74,1.083999
-103.028983,56,1.109612
6.649237,72,1.139467
-97.039084,60,1.176298
-108.86001,66,1.235286
9.177773,76,1.266814
93.372921,99,1.305395
84.211705,86,1.342809
53.265402,78,1.378053
-73.100034,69,1.414621
-63.193536,72,1.445019
40.815343,82,1.484176
-84.914341,69,1.517594
56.843255,78,1.548907
5.609763,72,1.593883
-94.375762,62,1.627347
-2.694674,76,1.661798
-95.112702,69,1.692252
-40.320078,74,1.722214
-29.314501,76,1.752672
-101.405175,71,1.781694
112.518082,88,1.819037
-49.425694,69,1.852053
-100.009692,68,1.891377
-117.598385,67,1.924561
43.339989,78,1.966329
-51.600829,75,2.003064
-7.902195,68,3.360256
143.30686,108,3.412164
82.35878,90,3.457349
45.628468,88,3.495058
19.421683,76,3.531148
-47.069371,98,3.573155
7.515767,71,3.602835
68.738253,77,3.63448
-95.519938,56,3.656676
-9.92909,79,3.688354
-52.293233,70,3.727024
-56.148033,70,3.76817
31.81369,70,3.802409
-7.321262,80,3.839072
82.271788,94,3.882705
18.143065,75,3.911687
79.771592,78,3.941961
-12.268745,67,3.967223
116.186998,106,4.012485
51.064982,79,4.054877
16.449587,72,4.087616
-51.918961,109,4.131011
81.385031,79,4.161289
-40.976809,66,4.188105
128.320571,89,4.221682
91.244974,89,6.181165
25.945169,74,6.220555
90.896662,90,6.352545
-10.492505,77,6.389259
52.125256,79,6.423392
-81.42808,66,6.459637
33.196453,88,6.498405
119.894455,119,6.550856
128.299569,92,6.586542
52.423124,78,6.619362
27.674805,83,6.653205
65.256184,98,6.701317
148.784402,109,6.752056
43.884072,110,6.801137
-7.284661,67,6.82742
37.434952,76,6.857466
30.639939,74,6.886648
102.430537,80,6.916738
41.501399,116,6.969172
44.186055,90,7.00344
65.577944,88,7.045239
90.722521,82,7.090994
116.400087,83,7.128189
95.527688,98,8.631525
-10.558792,69,8.657622
-3.173528,90,8.694891
54.200711,75,8.72224
112.016645,90,8.757906
-37.716351,66,8.790199
44.79135,80,8.828269
132.675387,92,8.86439
1.53301,71,8.894096
106.998754,91,8.930717
82.400436,89,8.963866
35.412974,83,8.995496
-28.76802,65,9.020797
125.575851,92,9.159585
100.531144,90,9.196559
82.845759,102,9.236927
76.373229,82,9.267164
22.679322,72,9.295407
95.772137,85,9.32735
74.919342,89,9.365
114.715476,80,9.404191
82.279197,79,9.434968
9.869693,73,9.463246
116.173014,97,9.500089
96.435883,89,9.53405
55.6325,76,10.886864
60.200563,82,10.91861
86.902914,79,10.948398
66.846832,80,10.995132
91.573873,84,11.034116
99.008624,107,11.077659
105.485719,103,11.116585
86.39046,88,11.151437
88.625543,77,11.181869
55.205817,79,11.212142
97.129342,95,11.255456
1.400906,71,11.286897
-110.989626,59,11.314789
100.028035,81,11.354713
48.068881,72,11.384394
109.271687,88,11.42733
39.576584,79,11.462848
46.879461,82,11.497835
152.994802,92,11.534185
51.648756,80,11.572462
52.910114,81,11.604306
39.6913,80,11.635173
94.449591,94,11.672215
60.940081,79,11.703311
116.090796,89,11.737376
